"","Tx","ty","Model","ParamSensitivity","ParamSpecificity","p_ty","dp_ty","FI_Tx"
"187",37,1,"Group-level",1,1,0.00907239738069242,-0.00181219708693431,0.00320246705643329
"188",37,2,"Group-level",1,1,0.0960224545322276,-0.0109038411785312,0.00320246705643329
"189",37,3,"Group-level",1,1,0.387280488139102,-0.0119734198344991,0.00320246705643329
"190",37,4,"Group-level",1,1,0.507352421355881,0.0247684895245993,0.00320246705643329
"191",38,0,"Group-level",1,1,0.000203098632198894,-6.00574113925502e-05,0.00305843183192735
"192",38,1,"Group-level",1,1,0.00741346164902942,-0.00151342047554712,0.00305843183192735
"193",38,2,"Group-level",1,1,0.0855572026641379,-0.0100305219322301,0.00305843183192735
"194",38,3,"Group-level",1,1,0.374884578356542,-0.0127945779277145,0.00305843183192735
"195",38,4,"Group-level",1,1,0.531941658698092,0.0243985777468843,0.00305843183192735
"196",39,0,"Group-level",1,1,0.000150686081954029,-4.54040882951999e-05,0.00292128742576419
"197",39,1,"Group-level",1,1,0.00603101065430168,-0.00125829666700607,0.00292128742576419
"198",39,2,"Group-level",1,1,0.0759524271556802,-0.00918409686379839,0.00292128742576419
"199",39,3,"Group-level",1,1,0.361738115580585,-0.0134754219038954,0.00292128742576419
"200",39,4,"Group-level",1,1,0.556127760527479,0.0239632195229951,0.00292128742576419
"201",40,0,"Group-level",1,1,0.000111161863736582,-3.41427572377295e-05,0.00279053379768547
"202",40,1,"Group-level",1,1,0.00488410654708273,-0.00104147387218425,0.00279053379768547
"203",40,2,"Group-level",1,1,0.0671778814279167,-0.00837100392644574,0.00279053379768547
"204",40,3,"Group-level",1,1,0.347978557464557,-0.014021825927022,0.00279053379768547
"205",40,4,"Group-level",1,1,0.579848292696707,0.0234684464828897,0.00279053379768547
"206",41,0,"Group-level",1,1,8.15187000734869e-05,-2.55320747020511e-05,0.00266572086262648
"207",41,1,"Group-level",1,1,0.00393692840132888,-0.000858070135439931,0.00266572086262648
"208",41,2,"Group-level",1,1,0.0591976518802733,-0.00759616866981655,0.00266572086262648
"209",41,3,"Group-level",1,1,0.333737037823957,-0.0144405300494219,0.00266572086262648
"210",41,4,"Group-level",1,1,0.603046863194367,0.0229203009293804,0.00266572086262648
"211",42,0,"Group-level",1,1,5.94119339518659e-05,-1.89828131916927e-05,0.00254644256609955
"212",42,1,"Group-level",1,1,0.0031583039671804,-0.000703668372797641,0.00254644256609955
"213",42,2,"Group-level",1,1,0.0519715828255938,-0.00686317818373947,0.00254644256609955
"214",42,3,"Group-level",1,1,0.319137598226459,-0.0147389481639719,0.00254644256609955
"215",42,4,"Group-level",1,1,0.625673103046815,0.0223247775337008,0.00254644256609955
"216",43,0,"Group-level",1,1,4.30224349306611e-05,-1.40287526391774e-05,0.00243233178806083
"217",43,1,"Group-level",1,1,0.00252125126609514,-0.000574302118290366,0.00243233178806083
"218",43,2,"Group-level",1,1,0.0454565308428596,-0.00617444795936693,0.00243233178806083
"219",43,3,"Group-level",1,1,0.304296602876421,-0.0149249934771438,0.00243233178806083
"220",43,4,"Group-level",1,1,0.647682592579694,0.0216877723074403,0.00243233178806083
"221",44,0,"Group-level",1,1,3.09459619676682e-05,-1.03027251082326e-05,0.00232305594317695
"222",44,1,"Group-level",1,1,0.00200253799882765,-0.000466434537413368,0.00232305594317695
"223",44,2,"Group-level",1,1,0.039607456605144,-0.00553137981870472,0.00232305594317695
"224",44,3,"Group-level",1,1,0.289322319284094,-0.0150069214308055,0.00232305594317695
"225",44,4,"Group-level",1,1,0.669036740149967,0.0210150385120318,0.00232305594317695
"226",45,0,"Group-level",1,1,2.21042585483352e-05,-7.51697692408313e-06,0.00221831316890851
"227",45,1,"Group-level",1,1,0.00158226441678393,-0.00037693280053507,0.00221831316890851
"228",45,2,"Group-level",1,1,0.0343783638041586,-0.00493450961692463,0.00221831316890851
"229",45,3,"Group-level",1,1,0.274314647421691,-0.0149931897288212,0.00221831316890851
"230",45,4,"Group-level",1,1,0.689702620098818,0.020312149123205,0.00221831316890851
"231",46,0,"Group-level",1,1,1.56739287888192e-05,-5.44713508725003e-06,0.00211782901176194
"232",46,1,"Group-level",1,1,0.00124347341924515,-0.000303039510024223,0.00211782901176194
"233",46,2,"Group-level",1,1,0.0297230958508527,-0.00438364388282165,0.00211782901176194
"234",46,3,"Group-level",1,1,0.259364980526186,-0.0148923349091063,0.00211782901176194
"235",46,4,"Group-level",1,1,0.709652776274927,0.0195844654370394,0.00211782901176194
"236",47,0,"Group-level",1,1,1.10298017402806e-05,-3.91917148822313e-06,0.00202135353732748
"237",47,1,"Group-level",1,1,0.000971790119794779,-0.000242342534849331,0.00202135353732748
"238",47,2,"Group-level",1,1,0.0255960016698166,-0.00387798494279832,0.00202135353732748
"239",47,3,"Group-level",1,1,0.244556181354,-0.0147128647350013,0.00202135353732748
"240",47,4,"Group-level",1,1,0.728864997054648,0.0188371113841371,0.00202135353732748
"241",48,0,"Group-level",1,1,0,NA,0.00192764146251607
"242",48,1,"Group-level",1,1,0.000755091919611885,-0.000192744318355036,0.00192764146251607
"243",48,2,"Group-level",1,1,0.0219524821996093,-0.00341624438328916,0.00192764146251607
"244",48,3,"Group-level",1,1,0.229962658484986,-0.0144631655552157,0.00192764146251607
"245",48,4,"Group-level",1,1,0.747322067345522,0.0180749531077379,0.00192764146251607
"246",49,0,"Group-level",1,1,0,NA,0.00183879881154968
"247",49,1,"Group-level",1,1,0.000583209184400376,-0.000152431482374243,0.00183879881154968
"248",49,2,"Group-level",1,1,0.0187494292272722,-0.00299674495494848,0.00183879881154968
"249",49,3,"Group-level",1,1,0.215650528170691,-0.0141514236929025,0.00183879881154968
"250",49,4,"Group-level",1,1,0.765011502613603,0.0173025833586454,0.00183879881154968
"251",50,0,"Group-level",1,1,0,NA,0.0017532656445506
"252",50,1,"Group-level",1,1,0.000447655903061957,-0.000119845348012845,0.0017532656445506
"253",50,2,"Group-level",1,1,0.0159455679801079,-0.00261751121761645,0.0017532656445506
"254",50,3,"Group-level",1,1,0.201677848192962,-0.0137855598663486,0.0017532656445506
"255",50,4,"Group-level",1,1,0.781925269528943,0.0165243102634252,0.0017532656445506
"256",51,0,"Group-level",1,1,0,NA,0.00167088553779408
"257",51,1,"Group-level",1,1,0.000341389172703221,-9.36538251600738e-05,0.00167088553779408
"258",51,2,"Group-level",1,1,0.0135017145200255,-0.00227634937552254,0.00167088553779408
"259",51,3,"Group-level",1,1,0.188094911214324,-0.0133731756114302,0.00167088553779408
"260",51,4,"Group-level",1,1,0.798059497384398,0.0157441500312245,0.00167088553779408
"261",52,0,"Group-level",1,1,0,NA,0.00159151255505501
"262",52,1,"Group-level",1,1,0.000258595974016463,-7.27249843958409e-05,0.00159151255505501
"263",52,2,"Group-level",1,1,0.0113809584774181,-0.00197091686410109,0.00159151255505501
"264",52,3,"Group-level",1,1,0.174944586138877,-0.0129215106651839,0.00159151255505501
"265",52,4,"Group-level",1,1,0.813414184014134,0.0149658231778376,0.00159151255505501
"266",53,0,"Group-level",1,1,0,NA,0.00151501076712677
"267",53,1,"Group-level",1,1,0.000194505445696885,-5.61025123557945e-05,0.00151501076712677
"268",53,2,"Group-level",1,1,0.00954878105801908,-0.00169878232908732,0.00151501076712677
"269",53,3,"Group-level",1,1,0.162262697040211,-0.0124374102766581,0.00151501076712677
"270",53,4,"Group-level",1,1,0.827992899525704,0.0141927538622304,0.00151501076712677
"271",54,0,"Group-level",1,1,0,NA,0.00144125375080028
"272",54,1,"Group-level",1,1,0.000145224712453102,-4.29831611013512e-05,0.00144125375080028
"273",54,2,"Group-level",1,1,0.00797311758747024,-0.0014574766904941,0.00144125375080028
"274",54,3,"Group-level",1,1,0.150078430238157,-0.0119273014325759,0.00144125375080028
"275",54,4,"Group-level",1,1,0.841802490763165,0.0134280719501207,0.00144125375080028
"276",55,0,"Group-level",1,1,0,NA,0.0013701240784212
"277",55,1,"Group-level",1,1,0.00010759624790153,-3.26962303736344e-05,0.0013701240784212
"278",55,2,"Group-level",1,1,0.00662437314942031,-0.00124453601326191,0.0013701240784212
"279",55,3,"Group-level",1,1,0.138414761102228,-0.0113971770180017,0.0013701240784212
"280",55,4,"Group-level",1,1,0.854852789044741,0.0126746174403661,0.0013701240784212
"281",56,0,"Group-level",1,1,0,NA,0.00130151280706372
"282",56,1,"Group-level",1,1,7.90747438243802e-05,-2.46850659126248e-05,0.00130151280706372
"283",56,2,"Group-level",1,1,0.00547539914451895,-0.00105753691689049,0.00130151280706372
"284",56,3,"Group-level",1,1,0.127288893119695,-0.0108525869739256,0.00130151280706372
"285",56,4,"Group-level",1,1,0.867156323364949,0.0119349469125472,0.00130151280706372
"286",57,0,"Group-level",1,1,0,NA,0.00123531897451548
"287",57,1,"Group-level",1,1,5.76214962404879e-05,-1.84905147700872e-05,0.00123531897451548
"288",57,2,"Group-level",1,1,0.00450143786655864,-0.000894125251749332,0.00123531897451548
"289",57,3,"Group-level",1,1,0.116712702680547,-0.0102986355620752,0.00123531897451548
"290",57,4,"Group-level",1,1,0.878728040921282,0.0112113416775619,0.00123531897451548
"291",58,0,"Group-level",1,1,0,NA,0.00117144910765412
"292",58,1,"Group-level",1,1,4.16143941721229e-05,-1.37362475213248e-05,0.00117144910765412
"293",58,2,"Group-level",1,1,0.00368004147173104,-0.000752038753099871,0.00117144910765412
